county,FIRE_YEAR,fire_count
Siskiyou,1996,248
Siskiyou,1997,250
Siskiyou,1998,159
Siskiyou,1999,342
Siskiyou,2000,225
Siskiyou,2001,417
Siskiyou,2002,207
Siskiyou,2003,299
Siskiyou,2004,264
Siskiyou,2005,164
Siskiyou,2006,301
Siskiyou,2007,284
Siskiyou,2008,254
Siskiyou,2009,287
Siskiyou,2010,130
Siskiyou,2011,119
Siskiyou,2012,160
Siskiyou,2013,319
Siskiyou,2014,298
Siskiyou,2015,321
Siskiyou,2016,192
Siskiyou,2017,348
Siskiyou,2018,175
Siskiyou,2019,152
Siskiyou,2020,174
Solano,1992,25
Solano,1993,24
Solano,1994,36
Solano,1995,12
Solano,1996,25
Solano,1997,24
Solano,1998,10
Solano,1999,16
Solano,2000,28
Solano,2001,16
Solano,2002,18
Solano,2003,28
Solano,2004,20
Solano,2005,85
Solano,2006,94
Solano,2007,106
Solano,2008,74
Solano,2009,79
Solano,2010,24
Solano,2011,20
Solano,2012,23
Solano,2013,48
Solano,2014,12
Solano,2015,52
Solano,2016,94
Solano,2017,78
Solano,2018,80
Solano,2019,50
Solano,2020,129
Sonoma,1992,161
Sonoma,1993,120
Sonoma,1994,131
Sonoma,1995,138
Sonoma,1996,107
Sonoma,1997,112
Sonoma,1998,72
Sonoma,1999,133
Sonoma,2000,129
Sonoma,2001,129
Sonoma,2002,131
Sonoma,2003,108
Sonoma,2004,118
Sonoma,2005,148
Sonoma,2006,184
Sonoma,2007,267
Sonoma,2008,263
Sonoma,2009,196
Sonoma,2010,145
Sonoma,2011,95
Sonoma,2012,133
Sonoma,2013,254
Sonoma,2014,135
Sonoma,2015,156
Sonoma,2016,132
Sonoma,2017,130
Sonoma,2018,118
Sonoma,2019,35
Sonoma,2020,118
Stanislaus,1992,50
Stanislaus,1993,43
Stanislaus,1994,51
Stanislaus,1995,39
Stanislaus,1996,42
Stanislaus,1997,27
Stanislaus,1998,27
Stanislaus,1999,24
Stanislaus,2000,33
Stanislaus,2001,32
Stanislaus,2002,48
Stanislaus,2003,46
Stanislaus,2004,41
Stanislaus,2005,214
Stanislaus,2006,188
Stanislaus,2007,222
Stanislaus,2008,226
Stanislaus,2009,170
Stanislaus,2010,192
Stanislaus,2011,108
Stanislaus,2012,47
Stanislaus,2013,74
Stanislaus,2014,60
Stanislaus,2015,63
Stanislaus,2016,175
Stanislaus,2017,109
Stanislaus,2018,240
Stanislaus,2019,136
Stanislaus,2020,229
Sutter,1992,2
Sutter,1994,1
Sutter,1995,1
Sutter,1996,6
Sutter,1997,1
Sutter,2000,1
Sutter,2001,1
Sutter,2003,8
Sutter,2004,11
Sutter,2005,54
Sutter,2006,48
Sutter,2007,62
Sutter,2008,58
Sutter,2009,52
Sutter,2010,36
Sutter,2011,31
Sutter,2012,1
Sutter,2013,29
Sutter,2014,17
Sutter,2015,1
Sutter,2016,45
Sutter,2017,55
Sutter,2018,89
Sutter,2019,11
Sutter,2020,23
Tehama,1992,225
Tehama,1993,191
Tehama,1994,265
Tehama,1995,216
Tehama,1996,239
Tehama,1997,175
Tehama,1998,167
Tehama,1999,286
Tehama,2000,136
Tehama,2001,209
Tehama,2002,149
Tehama,2003,210
Tehama,2004,203
Tehama,2005,165
Tehama,2006,173
Tehama,2007,267
Tehama,2008,225
Tehama,2009,142
Tehama,2010,126
Tehama,2011,134
Tehama,2012,155
Tehama,2013,175
Tehama,2014,142
Tehama,2015,137
Tehama,2016,113
Tehama,2017,133
Tehama,2018,184
Tehama,2019,82
Tehama,2020,186
Trinity,1992,266
Trinity,1993,104
Trinity,1994,172
Trinity,1995,96
Trinity,1996,125
Trinity,1997,126
Trinity,1998,75
Trinity,1999,130
Trinity,2000,117
Trinity,2001,139
Trinity,2002,93
Trinity,2003,160
Trinity,2004,131
Trinity,2005,81
Trinity,2006,167
Trinity,2007,103
Trinity,2008,232
Trinity,2009,166
Trinity,2010,61
Trinity,2011,54
Trinity,2012,105
Trinity,2013,136
Trinity,2014,82
Trinity,2015,182
Trinity,2016,61
Trinity,2017,130
Trinity,2018,74
Trinity,2019,103
Trinity,2020,73
Tulare,1992,509
Tulare,1993,471
Tulare,1994,437
Tulare,1995,338
Tulare,1996,530
Tulare,1997,476
Tulare,1998,417
Tulare,1999,499
Tulare,2000,387
Tulare,2001,423
Tulare,2002,370
Tulare,2003,473
Tulare,2004,472
Tulare,2005,486
Tulare,2006,612
Tulare,2007,464
Tulare,2008,249
Tulare,2009,214
Tulare,2010,154
Tulare,2011,192
Tulare,2012,141
Tulare,2013,185
Tulare,2014,107
Tulare,2015,185
Tulare,2016,189
Tulare,2017,195
Tulare,2018,164
Tulare,2019,102
Tulare,2020,141
Tuolumne,1992,271
Tuolumne,1993,151
Tuolumne,1994,184
Tuolumne,1995,127
Tuolumne,1996,192
Tuolumne,1997,147
Tuolumne,1998,150
Tuolumne,1999,215
Tuolumne,2000,180
Tuolumne,2001,191
Tuolumne,2002,153
Tuolumne,2003,222
Tuolumne,2004,193
Tuolumne,2005,161
Tuolumne,2006,172
Tuolumne,2007,275
Tuolumne,2008,162
Tuolumne,2009,100
Tuolumne,2010,130
Tuolumne,2011,152
Tuolumne,2012,131
Tuolumne,2013,123
Tuolumne,2014,184
Tuolumne,2015,130
Tuolumne,2016,116
Tuolumne,2017,150
Tuolumne,2018,122
Tuolumne,2019,102
Tuolumne,2020,179
Ventura,1992,16
Ventura,1993,14
Ventura,1994,50
Ventura,1995,19
Ventura,1996,35
Ventura,1997,23
Ventura,1998,22
Ventura,1999,48
Ventura,2000,23
Ventura,2001,17
Ventura,2002,13
Ventura,2003,10
Ventura,2004,16
Ventura,2005,66
Ventura,2006,56
Ventura,2007,34
Ventura,2008,29
Ventura,2009,32
Ventura,2010,26
Ventura,2011,33
Ventura,2012,57
Ventura,2013,61
Ventura,2014,36
Ventura,2015,58
Ventura,2016,62
Ventura,2017,80
Ventura,2018,27
Ventura,2019,47
Ventura,2020,110
Yolo,1992,21
Yolo,1993,29
Yolo,1994,17
Yolo,1995,22
Yolo,1996,20
Yolo,1997,10
Yolo,1998,34
Yolo,1999,29
Yolo,2000,16
Yolo,2001,23
Yolo,2002,14
Yolo,2003,27
Yolo,2004,19
Yolo,2005,37
Yolo,2006,61
Yolo,2007,54
Yolo,2008,43
Yolo,2009,58
Yolo,2010,74
Yolo,2011,80
Yolo,2012,36
Yolo,2013,33
Yolo,2014,24
Yolo,2015,21
Yolo,2016,37
Yolo,2017,55
Yolo,2018,51
Yolo,2019,40
Yolo,2020,39
Yuba,1992,68
Yuba,1993,43
Yuba,1994,56
Yuba,1995,50
Yuba,1996,48
Yuba,1997,49
Yuba,1998,49
Yuba,1999,85
Yuba,2000,80
Yuba,2001,82
Yuba,2002,103
Yuba,2003,85
Yuba,2004,69
Yuba,2005,100
Yuba,2006,136
Yuba,2007,151
Yuba,2008,155
Yuba,2009,121
Yuba,2010,83
Yuba,2011,78
Yuba,2012,106
Yuba,2013,106
Yuba,2014,75
Yuba,2015,73
Yuba,2016,69
Yuba,2017,70
Yuba,2018,77
Yuba,2019,39
Yuba,2020,30
