county,FIRE_YEAR,fire_count
Fresno,2000,293
Fresno,2001,285
Fresno,2002,266
Fresno,2003,294
Fresno,2004,250
Fresno,2005,281
Fresno,2006,454
Fresno,2007,608
Fresno,2008,491
Fresno,2009,405
Fresno,2010,383
Fresno,2011,468
Fresno,2012,355
Fresno,2013,370
Fresno,2014,225
Fresno,2015,435
Fresno,2016,631
Fresno,2017,817
Fresno,2018,755
Fresno,2019,418
Fresno,2020,513
Glenn,1992,29
Glenn,1993,26
Glenn,1994,13
Glenn,1995,15
Glenn,1996,18
Glenn,1997,17
Glenn,1998,17
Glenn,1999,19
Glenn,2000,7
Glenn,2001,19
Glenn,2002,16
Glenn,2003,38
Glenn,2004,27
Glenn,2005,27
Glenn,2006,26
Glenn,2007,13
Glenn,2008,18
Glenn,2009,17
Glenn,2010,14
Glenn,2011,9
Glenn,2012,15
Glenn,2013,28
Glenn,2014,10
Glenn,2015,11
Glenn,2016,6
Glenn,2017,8
Glenn,2018,6
Glenn,2019,9
Glenn,2020,58
Humboldt,1992,360
Humboldt,1993,258
Humboldt,1994,294
Humboldt,1995,384
Humboldt,1996,232
Humboldt,1997,275
Humboldt,1998,289
Humboldt,1999,292
Humboldt,2000,339
Humboldt,2001,399
Humboldt,2002,371
Humboldt,2003,348
Humboldt,2004,315
Humboldt,2005,260
Humboldt,2006,330
Humboldt,2007,379
Humboldt,2008,348
Humboldt,2009,347
Humboldt,2010,196
Humboldt,2011,208
Humboldt,2012,248
Humboldt,2013,395
Humboldt,2014,289
Humboldt,2015,483
Humboldt,2016,303
Humboldt,2017,214
Humboldt,2018,233
Humboldt,2019,149
Humboldt,2020,188
Imperial,1992,21
Imperial,1993,17
Imperial,1994,51
Imperial,1995,29
Imperial,1996,53
Imperial,1997,46
Imperial,1998,59
Imperial,1999,48
Imperial,2000,26
Imperial,2001,24
Imperial,2002,21
Imperial,2003,19
Imperial,2004,31
Imperial,2005,41
Imperial,2006,36
Imperial,2007,10
Imperial,2008,26
Imperial,2009,41
Imperial,2010,26
Imperial,2011,40
Imperial,2012,24
Imperial,2013,38
Imperial,2014,21
Imperial,2015,10
Imperial,2016,5
Imperial,2017,7
Imperial,2018,9
